Año,Expediente,Tipo / Temática,SUBTEMATICA,Descripción del Proyecto,Autor/es,Bloque
2024,1013-D-2024,IA,Marco Regulatorio,READECUACION DEL SISTEMA LEGAL ARGENTINO POR EL IMPACTO DE LA INTELIGENCIA ARTIFICIAL. CODIGO CIVIL Y COMERCIAL DE LA NACION. PROPIEDAD INTELECTUAL - LEY 11723 -. CODIGO PENAL DE LA NACION. DATOS PERSONALES - LEY 25326 -. MODIFICACIONES.,,
2024,1269-D-2024,Estrategia Tecnologica Nacional,"Sistema Nacional de Ciencía, Tecnología e Innovación (Sostenimiento y Financiación)","GARANTICESE EL FINANCIAMIENTO DEL SISTEMA NACIONAL DE CIENCIA, TECNOLOGIA E INNOVACION.",Mónica Macha,
2024,1300-D-2024,Estrategia Tecnologica Nacional,Conmemoración,"        INSTITUIR EL 10 DE ABRIL DE CADA AÑO COMO ""DIA NACIONAL DEL INVESTIGADOR E INVESTIGADORA CIENTIFICO"", EN CONMEMORACION DEL NATALICIO DEL DOCTOR BERNARDO ALBERTO HOUSSAY.",—,
2024,1635-D-2024,Innovación y Desarrollo Productivo,Ecosistema Startup,DECLARAR A LA PROVINCIA DE MISIONES COMO CAPITAL NACIONAL STARTUP.,Carlos A. Fernández,
2024,1636-D-2024,Estrategia Tecnologica Nacional,Educación,CREACION DE ESCUELAS DE ROBOTICA.,Carlos A. Fernández,
2024,1656-D-2024,Estrategia Tecnologica Nacional,Estrategía Nacional de Ciencia y Tecnologia,FONDO NACIONAL DE PUBLICACIONES CIENTIFICAS PERIODICAS (FNPCP). CREACION.,Ana Carolina Gaillard,
2024,2435-D-2024,Estrategia Tecnologica Nacional,"Sistema Nacional de Ciencía, Tecnología e Innovación (Sostenimiento y Financiación)","DECLARAR LA EMERGENCIA DEL SISTEMA NACIONAL DE CIENCIA, TECNOLOGIA E INNOVACION.",Daniel G. Gollan,
2024,3003-D-2024,IA,Marco Regulatorio,REGIMEN LEGAL PARA EL USO RESPONSABLE DE LA INTELIGENCIA ARTIFICIAL EN LA REPUBLICA ARGENTINA.,,
2024,3422-D-2024,Innovación y Desarrollo Productivo,Sandbox,SISTEMA DE ENTORNOS REGULATORIOS EXPERIMENTALES (SANDBOX REGULATORIOS). CREACION.,,
2024,3441-D-2024,Innovación y Desarrollo Productivo,Plataformas de mensajeria,REGIMEN PARA EL USO DE PLATAFORMAS TECNOLOGICAS EN SERVICIO DE MENSAJERIA URBANA.,Cristian Ritondo y otros,
2024,3602-D-2024,Estrategia Tecnologica Nacional,Estrategía Nacional de Ciencia y Tecnologia,REGIMEN DE FOMENTO PARA LA RECONVERSION INDUSTRIAL E INNOVACION TECNOLOGICA DE TIERRA DEL FUEGO (REGITEC-TDF). CREACION.,Jorge Neri Araujo Hdez.,
2024,3709-D-2024,Innovación y Desarrollo Productivo,Desarrollo Productivo,PROGRAMA INICIATIVA ARGENTINA PARA EL FOMENTO DEL DESARROLLO PRODUCTIVO INDUSTRIAL DE USO INTENSIVO DE LA CIENCIA Y TECNOLOGIA. CREACION.,Martín Yeza,
2024,3728-D-2024,Tecnologías Estratégicas ,Salud,CREACION DEL INSTITUTO NACIONAL DE EVALUACION DE TECNOLOGIAS SANITARIAS (INETS).,Mónica Fein y otros,
2024,3900-D-2024,IA,Creación de Organismos especializados,CREACION DEL OBSERVATORIO FEDERAL SOBRE INTELIGENCIA ARTIFICIAL (O.F.I.A.).,,
2024,3955-D-2024,IA,Deepfake y generación de contenido,CODIGO PENAL DE LA NACION - LEY 11179 - MODIFICACIONES SOBRE EL USO DE LA INTELIGENCIA ARTIFICIAL PARA CREACION O MANIPULACION DE CONTENIDOS AUDIOVISUALES.,,
2024,4079-D-2024,IA,Marco Regulatorio,PRESUPUESTOS MINIMOS PARA LA PROMOCION DEL DESARROLLO DE LA INTELIGENCIA ARTIFICIAL (IA) EN LA REPUBLICA ARGENTINA. REGIMEN.,,
2024,4898-D-2024,IA,Defensa del Consumidor,DEFENSA DEL CONSUMIDOR - LEY 24240 -. MODIFICACIONES SOBRE PROVEEDORES DE BIENES Y SERVICIOS UTILIZANDO INTELIGENCIA ARTIFICIAL - IA -.,,
2024,6156-D-2024,IA,Marco Regulatorio,MARCO REGULATORIO DE LA INTELIGENCIA ARTIFICIAL. CREACION DEL REGISTRO NACIONAL DE SISTEMAS DE INTELIGENCIA ARTIFICIAL.,,
2024,6382-D-2024,Innovación y Desarrollo Productivo,Desarrollo Productivo,EXENCION DE DERECHOS DE IMPORTACION A INVAP S.E.,Domingo Agustín y otros,
2024,6976-D-2024,IA,Utilización de la IA en el Sistema Educativo,PROGRAMA NACIONAL DE LABORATORIOS DE INFORMATICA E INTELIGENCIA ARTIFICIAL. CREACION.,,
2024,7045-D-2024,IA,Marco Regulatorio,MODIFICACIONES SOBRE RESPONSABILIDAD DE PROVEEDORES EN EL USO DE LA INTELIGENCIA ARTIFICIAL.,,
2024,7058-D-2024,Innovación y Desarrollo Productivo,Desarrollo Productivo,PROMUEVASE LA CORRECTA RECUPERACION Y RECICLADO DE ACEITES VEGETALES Y GRASAS DE FRITURA USADOS.,,
2024,7085-D-2024,Tecnologías Estratégicas ,Salud,REGIMEN DE PROMOCION DE TRATAMIENTOS INNOVADORES EN MATERIA MEDICA.,Marcela M. Pagano,
2025,0345-D-2025,IA,Creación de Organismos especializados,CONSEJO FEDERAL DE INTELIGENCIA ARTIFICIAL. CREACION.,,
2025,0389-D-2025,Innovación y Desarrollo Productivo,Programas de innovación,PLAN NACIONAL DE NODOS DE INNOVACION. REGIMEN.,Juan M. López y otros,
2025,0401-D-2025,Innovación y Desarrollo Productivo,I+D,FONDO NACIONAL PARA LA PROMOCION DE INVERSIONES EN INVESTIGACION Y DESARROLLO INDUSTRIAL. CREACION.,Juan M. López y otros,
2025,0419-D-2025,Innovación y Desarrollo Productivo,Desarrollo Productivo,SELLO OTHEGUY PARA INCENTIVAR LA ASOCIACION DEL CONOCIMIENTO CON EL DESARROLLO SOCIOECONOMICO. CREACION.,Juan M. López y otros,
2025,0903-D-2025,Estrategia Tecnologica Nacional,Politicas de Genero,MODIFICACIONES SOBRE IGUALDAD DE GENERO EN POLITICA CIENTIFICO TECNOLOGICA.,—,
2025,1311-D-2025,Estrategia Tecnologica Nacional,"Sistema Nacional de Ciencía, Tecnología e Innovación (Sostenimiento y Financiación)","REGIMEN DE SALVAGUARDA Y PROTECCION DEL SISTEMA NACIONAL DE CIENCIA, TECNOLOGIA E INNOVACION.",Esteban Paulón / M. Fein,
2025,1937-D-2025,IA,Marco Regulatorio,"REGULAR EL DESARROLLO, IMPLEMENTACION Y USO DE LA INTELIGENCIA ARTIFICIAL EN EL TERRITORIO NACIONAL. CREACION DEL MINISTERIO DE INTELIGENCIA ARTIFICIAL.",,
2025,2079-D-2025,Estrategia Tecnologica Nacional,"Sistema Nacional de Ciencía, Tecnología e Innovación (Sostenimiento y Financiación)",DECLARAR LA EMERGENCIA PRESUPUESTARIA DEL SISTEMA UNIVERSITARIO NACIONAL Y DEL SISTEMA DE CIENCIA Y TECNICA PARA EL EJERCICIO 2025.,,
2025,2114-D-2025,Estrategia Tecnologica Nacional,"Sistema Nacional de Ciencía, Tecnología e Innovación (Sostenimiento y Financiación)",GARANTIZAR EL SOSTENIMIENTO DEL SISTEMA NACIONAL DE CIENCIA TECNOLOGIA E INNOVACION DURANTE EL EJERCICIO FISCAL 2025.,Mónica Macha,
2025,2130-D-2025,IA,Marco Regulatorio,"MARCO LEGAL PARA EL DESARROLLO, IMPLEMENTACION Y USO RESPONSABLE DE SISTEMAS DE INTELIGENCIA ARTIFICIAL EN ARGENTINA.",,
